mu,sigma,median,min,max,variance
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0.0011614941329801095,0.0033528978924059778,0.002682325026074848,0.0026822086866070192,0.005364777782946494,1.349068620947216e-06
0.014833162805741363,0.027272535711306698,0.026435587069661124,0.00264398205175226,0.05287727921230511,0.00022002271882162896
0.05097671349513543,0.07152095406779917,0.05937805148105199,0.010557028500725778,0.20586350059521527,0.0025986253187651226
0.07798552725577207,0.09465720008783937,0.07598978648183288,0.007999727152062507,0.29065992766039517,0.006081742461360769
0.08637871026869018,0.10831418036492865,0.07805713317518656,0.008216891179378712,0.3094095730510647,0.007461281587682322
0.08490871418152666,0.09917547267540018,0.06968234203431939,0.005809317797731499,0.2700127761309185,0.007209489743960186
0.07344330874126068,0.09644139516421198,0.07938235383702713,0.013518119434905674,0.23292721192288046,0.005393919598864138
0.08596282568907293,0.11374506914618084,0.08729570737958434,0.007637729929702551,0.29514088608408434,0.0073896074004499365
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0.0017242886498285974,0.003657916959653487,0.0026825953848214506,0.0026823135414337606,0.00804717819432541,2.9731713479277273e-06
0.016266953181107244,0.026966107795720257,0.026437472611701207,0.007931144837863544,0.06609321324209536,0.0002646137657963351
0.03417564521065465,0.06518179665022975,0.06598001507589826,0.013194469436790878,0.12667424598916802,0.001167974725564542
0.04708795756883124,0.0845087112212767,0.07597301063051107,0.013331414688081442,0.15726483622194926,0.0022172757480040514
0.06925923940827682,0.11142233750543298,0.08898313329975667,0.016429535339294293,0.25729273472455444,0.004796842243413005
0.05884169702032934,0.11346037580015347,0.12184205610549857,0.023223310099047104,0.2176292708486756,0.003462345308232235
0.06355353491605188,0.10598619014880269,0.09603110750672651,0.026973163401032382,0.21218163216102795,0.0040390518003258265
0.06694625950289942,0.11549879913775682,0.1007058681069685,0.014960906000655902,0.2669496606991782,0.004481801661429551
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0.0010731706549646316,0.0032192493637316064,0.0026826764861922394,0.0026825111936613615,0.005365821498665188,1.1516952546772165e-06
0.02189470279646705,0.03381224843378026,0.03701611457545277,0.002643884301675716,0.1004621186628096,0.0004793780105456221
0.04789273331434171,0.0756001762609829,0.08048194882629366,0.007916744539648905,0.1873486216619646,0.002293713904318656
0.06638189336574835,0.11261546266089613,0.11993322432273894,0.010662746724037449,0.21055067754976792,0.004406555766821585
0.08081927070009161,0.13341374280856166,0.10812279274449185,0.0191592920872076,0.2955204724381541,0.006531754516494685
0.07504818103838112,0.11279005243494253,0.09571507679242167,0.023200015970268002,0.28987909276884266,0.0056322294771696275
0.0641533916995289,0.10777426424891745,0.09425232557040819,0.020184361781638124,0.22864842276128722,0.004115657666553183
0.08554900411453828,0.12088748577689931,0.1169588796781676,0.014666952180275068,0.26909407280147796,0.007318632104989287
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0.003219239266883131,0.00375606410581302,0.002682971221162531,0.002682840388316078,0.013413781903174379,1.0363501457442238e-05
0.01501354732267744,0.026306448212514082,0.026438466311365455,0.005288249456010941,0.052876463792984274,0.00022540660321027496
0.04312650960496423,0.06451532079438509,0.04353874576096372,0.015832586418618844,0.1398466850423317,0.0018598958307070724
0.07015069557063075,0.09780944793257541,0.0679537029383332,0.03198394362384205,0.22917137783541028,0.004921120089043313
0.075270997102077,0.11613817338623725,0.08070468714548354,0.03283253299535374,0.24621568957798887,0.005665723004740885
0.07101185518122458,0.10619565080060425,0.07680213792874646,0.03187562915196881,0.24342659961664997,0.005042683576279212
0.065938976052966,0.09530057100989556,0.07377844706306766,0.013420947217789353,0.21134383959174674,0.0043479485629136245
0.08094036635413311,0.12448156572924134,0.11128681491322545,0.007170969541817742,0.24347376987894503,0.006551342905541284
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0.0013054029450021577,0.003715267280555342,0.002683355461239684,0.0026831088689465224,0.005366895178944957,1.7040768488203063e-06
0.024518640171090827,0.03172784733259258,0.021154149005434202,0.005288076821072221,0.08989465761556692,0.0006011637158394288
0.05654758129291856,0.08272063939002564,0.06860829226023296,0.021109697926799016,0.20579651181396233,0.0031976289500792324
0.08525676935838113,0.12191537579781968,0.10392013422936763,0.023984575850185225,0.31710479844187645,0.007268716721428194
0.09909320155572966,0.1286834361591055,0.09433909045893812,0.0246176486529673,0.32542457307548756,0.009819462594564463
0.09797468410536206,0.13391082806634821,0.0839539625622431,0.02027331938089787,0.3068388870424403,0.009599038725545486
0.08013913483213166,0.11618793117489715,0.08710173357623842,0.016741603592062858,0.26436527982634134,0.006422280931642578
0.10025416844891137,0.13277495955043986,0.0846248603235332,0.014138314910631814,0.3086570313264706,0.010050898291382695
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0.0009390041212839687,0.003066969424741539,0.002683640980164512,0.002683391075588521,0.005367194428440003,8.817287397882782e-07
0.02760639050462232,0.04045584371764537,0.03701708010679692,0.0026443246166297906,0.08989409519741819,0.0007621127966937015
0.058187361413360665,0.09274822897738905,0.08048025465049674,0.015833037245632297,0.20052126017397706,0.003385769028249054
0.08499198580668565,0.12177160918240706,0.09058319759410777,0.026648523947374672,0.34369653539542144,0.007223637651363857
0.0817724054584286,0.14710840285049084,0.12985404277461138,0.010939084460784568,0.3663515387239976,0.006686726294457643
0.07936400939873048,0.14453395569888267,0.14033692667530256,0.008682935455531447,0.3326777291448118,0.006298645987841779
0.06996097236595714,0.12464939535788158,0.10702948969814514,0.006687748295920189,0.27386440343779106,0.004894537654390218
0.08844511560992567,0.13684178062603258,0.1181127591095434,0.006986939452095822,0.2966233686449669,0.007822538475253119
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0.001101388992154705,0.0032592185201890866,0.00268410506026497,0.002683781480011556,0.005368406932545254,1.2130577120395569e-06
