date,Qg,Qdir,Qdif,alt,azi
2016-10-31_03:00:00,0.0,0.0,0.0,-32.804286205229225,69.40304588890433
2016-10-31_04:00:00,0.0,0.0,0.0,-23.901773146488484,82.481167112023
2016-10-31_05:00:00,0.0,0.0,0.0,-14.73929081969334,94.43887161242117
2016-10-31_06:00:00,0.0,0.0,0.0,-5.674581866439641,106.0161842713735
2016-10-31_07:00:00,16.177559194673382,13.508261927552274,2.669297267121108,3.10719713410785,117.80359233388594
2016-10-31_08:00:00,59.93656085103897,50.047028310617534,9.889532540421431,10.583068209226942,130.27851446688499
2016-10-31_09:00:00,191.44105389022224,159.85327999833555,31.58777389188667,16.818426613087205,143.78283056549486
2016-10-31_10:00:00,328.3283773700958,274.15419510402995,54.174182266065806,21.247625792416517,158.42654455769127
2016-10-31_11:00:00,143.10533888887736,119.4929579722126,23.612380916664765,23.430680221385852,173.96318659785356
2016-10-31_12:00:00,256.28151802161915,213.995067548052,42.286450473567164,23.116406647205782,-170.21824699983242
2016-10-31_13:00:00,69.31654034853133,57.87931119102366,11.437229157507671,20.342123923791807,-154.86071189890666
2016-10-31_14:00:00,157.06153019822318,131.14637771551637,25.915152482706826,15.41701477882834,-140.49743820266048
2016-10-31_15:00:00,27.121727223488037,22.64664223161251,4.475084991875526,8.808965146324255,-127.27884794344362
2016-10-31_16:00:00,5.1744022406369865e-17,4.3206258709318837e-17,8.537763697051029e-18,1.1863863137453663,-115.02613212099988
2016-10-31_17:00:00,0.0,0.0,0.0,-7.954074056752851,-103.35866973870583
2016-10-31_18:00:00,0.0,0.0,0.0,-17.054065120345946,-91.77289134573141
2016-10-31_19:00:00,0.0,0.0,0.0,-26.218687159829045,-79.64701524401505
2016-10-31_20:00:00,0.0,0.0,0.0,-35.0145970876121,-66.19407360697375
2016-10-31_21:00:00,0.0,0.0,0.0,-42.85614162507888,-50.43168758646476
2016-10-31_22:00:00,0.0,0.0,0.0,-48.90791944582391,-31.393394841003555
2016-10-31_23:00:00,0.0,0.0,0.0,-52.11655252450672,-9.028618472856579
2016-11-01_00:00:00,0.0,0.0,0.0,-51.680627117942976,14.590172239241497
2016-11-01_01:00:00,0.0,0.0,0.0,-47.72353888095036,36.280905302362555
2016-11-01_02:00:00,0.0,0.0,0.0,-41.174221108319635,54.50050734460763
2016-11-01_03:00:00,0.0,0.0,0.0,-33.058055570414,69.63686390259448
2016-11-01_04:00:00,0.0,0.0,0.0,-24.14646337349253,82.70783452754517
2016-11-01_05:00:00,0.0,0.0,0.0,-14.982620489257537,94.65394659009672
2016-11-01_06:00:00,0.0,0.0,0.0,-5.9368233978168545,106.21771849152259
2016-11-01_07:00:00,37.617562326602396,31.410664542713,6.206897783889396,2.8578523972622305,117.98873437619665
2016-11-01_08:00:00,132.2393408116436,110.4198495777224,21.81949123392119,10.307915683770776,130.44147523534093
2016-11-01_09:00:00,202.1773674507606,168.8181018213851,33.3592656293755,16.52495337122664,143.91381445401487
2016-11-01_10:00:00,238.18116464968537,198.88127248248728,39.29989216719809,20.938643206590168,158.51266997157245
2016-11-01_11:00:00,333.78192896642963,278.7079106869687,55.074018279460894,23.112668464586218,173.99279809670838
2016-11-01_12:00:00,168.00885608755476,140.28739483310824,27.721461254446538,22.798695926377476,-170.24930854410218
2016-11-01_13:00:00,114.95200826532434,95.98492690154582,18.967081363778515,20.03372921390707,-154.9464317630784
2016-11-01_14:00:00,25.238406160283983,21.074069143837125,4.164337016446857,15.123783301023353,-140.62551584693986
2016-11-01_15:00:00,82.74883324020563,69.09527575557169,13.653557484633929,8.533605633139016,-127.43685948608692
2016-11-01_16:00:00,8.4934872601608e-18,7.092061862234268e-18,1.4014253979265322e-18,0.9503417617470402,-115.20505015281233
2016-11-01_17:00:00,0.0,0.0,0.0,-8.20839767846407,-103.55322866007134
2016-11-01_18:00:00,0.0,0.0,0.0,-17.30278217200865,-91.9802796901389
2016-11-01_19:00:00,0.0,0.0,0.0,-26.470000022528936,-79.86460954619929
2016-11-01_20:00:00,0.0,0.0,0.0,-35.27604855627119,-66.41548830509885
2016-11-01_21:00:00,0.0,0.0,0.0,-43.135442693821346,-50.63924565506824
2016-11-01_22:00:00,0.0,0.0,0.0,-49.209146228232015,-31.547690013544297
2016-11-01_23:00:00,0.0,0.0,0.0,-52.43295021575663,-9.073420929575434
2016-11-02_00:00:00,0.0,0.0,0.0,-51.99323112592649,14.679288399836707
2016-11-02_01:00:00,0.0,0.0,0.0,-48.01586766722165,36.46461607056153
2016-11-02_02:00:00,0.0,0.0,0.0,-41.443406312239574,54.72353087027585
2016-11-02_03:00:00,0.0,0.0,0.0,-33.310191157346665,69.86614160930566
2016-11-02_04:00:00,0.0,0.0,0.0,-24.38983687054781,82.92990979678586
2016-11-02_05:00:00,0.0,0.0,0.0,-15.224792566478806,94.86434896617277
2016-11-02_06:00:00,0.0,0.0,0.0,-6.194837220736275,106.41445236616903
2016-11-02_07:00:00,43.32804813013513,36.178920188662836,7.149127941472297,2.6110637549182307,118.16891636681174
2016-11-02_08:00:00,70.50714792473455,58.873468517153356,11.633679407581202,10.034640605879023,130.5993491901965
2016-11-02_09:00:00,25.282292602254813,21.11071432288277,4.171578279372044,16.2338593789704,144.03974516450012
2016-11-02_10:00:00,39.80819136299223,33.239839788098514,6.568351574893719,20.63270505289084,158.59410024005865
2016-11-02_11:00:00,308.40032581881394,257.51427205870965,50.8860537601043,22.798375376524664,174.01848202537417
2016-11-02_12:00:00,90.92295785045528,75.92066980513016,15.002288045325122,22.485255628589304,-170.28325191106177
2016-11-02_13:00:00,22.25558226369106,18.583411190182034,3.672171073509025,19.729976678926658,-155.0340041331122
2016-11-02_14:00:00,93.59567765901286,78.15239084527575,15.443286813737123,14.835424241956671,-140.75466170479828
2016-11-02_15:00:00,47.527342448778114,39.68533094472973,7.842011504048389,8.263338024179824,-127.59545532955286
2016-11-02_16:00:00,3.8182629240892095e-19,3.18824954161449e-19,6.300133824747196e-20,0.7219132925447775,-115.38432618942107
2016-11-02_17:00:00,0.0,0.0,0.0,-8.457166316784292,-103.74813100798087
2016-11-02_18:00:00,0.0,0.0,0.0,-17.54618740542323,-92.18820421309385
2016-11-02_19:00:00,0.0,0.0,0.0,-26.715863384976647,-80.08319242930736
2016-11-02_20:00:00,0.0,0.0,0.0,-35.53197496648622,-66.63871041803844
