Date_90_90_0,Itot_90_90_0,Ib_90_90_0,Iid_90_90_0,Icd_90_90_0,Ihd_90_90_0,Igr_90_90_0,theta_90_90_0,Date_45_-90_1,Itot_45_-90_1,Ib_45_-90_1,Iid_45_-90_1,Icd_45_-90_1,Ihd_45_-90_1,Igr_45_-90_1,theta_45_-90_1
2016/07/17 23:00:00,0.0,-0.0,0.0,0.0,-0.0,0.0,99.00565599114627,2016/07/17 23:00:00,0.0,-0.0,0.0,0.0,-0.0,0.0,99.00565599114627
2016/07/18 00:00:00,0.0,0.0,0.0,0.0,-0.0,0.0,85.01161720402536,2016/07/18 00:00:00,0.0,0.0,0.0,0.0,-0.0,0.0,85.01161720402536
2016/07/18 01:00:00,0.0,0.0,0.0,0.0,-0.0,0.0,71.06229308331488,2016/07/18 01:00:00,0.0,0.0,0.0,0.0,-0.0,0.0,71.0622930833149
2016/07/18 02:00:00,0.0,0.0,0.0,0.0,-0.0,0.0,57.31313195642358,2016/07/18 02:00:00,0.0,0.0,0.0,0.0,-0.0,0.0,57.31313195642359
2016/07/18 03:00:00,0.0,0.0,0.0,0.0,-0.0,0.0,44.02960588567046,2016/07/18 03:00:00,0.0,0.0,0.0,0.0,-0.0,0.0,44.02960588567048
2016/07/18 04:00:00,12.726865339806567,12.224259144751667,0.046286524311997146,0.4254791183078223,0.0308405524350826,0.0,31.94337301349416,2016/07/18 04:00:00,12.77475191618417,12.224259144751665,0.07901603953056632,0.4254791183078222,0.021807563762386194,0.024190049831730825,31.943373013494185
2016/07/18 05:00:00,185.7977222934636,164.93468258416885,1.58746992356854,17.024862113761692,2.2507076719645345,0.0,23.0067678515812,2016/07/18 05:00:00,187.44096930984713,164.93468258416883,2.709980671453545,17.02486211376169,1.5914906573147096,1.179953283148377,23.006767851581213
2016/07/18 06:00:00,130.20446262257568,112.54642412626261,1.6133036833157126,13.3202073016717,2.724527511325657,0.0,21.61439010726525,2016/07/18 06:00:00,131.97534916937664,112.54642412626261,2.7540816579014873,13.3202073016717,1.9265318787876802,1.4281042047531551,21.61439010726525
2016/07/18 07:00:00,227.3982117743738,192.52798935165526,4.054095558582277,23.30474070477638,7.511386159359898,0.0,28.888345611647424,2016/07/18 07:00:00,231.77979516879216,192.52798935165526,6.920774019634068,23.30474070477638,5.31135208939416,3.714939003332282,28.888345611647424
2016/07/18 08:00:00,552.3006679875836,472.38183509256856,22.04362687125985,38.6069267600547,19.26827926370047,0.0,40.37940906785674,2016/07/18 08:00:00,575.5899838591531,472.38183509256856,37.63082491387369,38.6069267600547,13.624730929158739,13.345666163497398,40.37940906785674
2016/07/18 09:00:00,412.36013836734344,340.78162187718215,22.32444748083875,30.52885966196165,18.725209347360916,0.0,53.41206922196607,2016/07/18 09:00:00,437.16013412969755,340.78162187718215,38.110215680782765,30.52885966196165,13.24072250865663,14.498714401114402,53.41206922196607
2016/07/18 10:00:00,180.99917045849134,139.31046184474056,14.258421662534612,13.678494683745999,13.75179226747016,0.0,67.0639456909254,2016/07/18 10:00:00,197.11504473307207,139.3104618447405,24.340648309130003,13.678494683745994,9.723985565796877,10.061454329658721,67.06394569092541
